year,intermediate,rural,urban
2015,52360.228509504785,69206.37627284185,23222.395217653357
2016,120089.5284709152,139546.98296484494,56020.488564239866
2017,225652.44154764467,646525.9155455371,66880.64290681815
2018,60531.134684672135,27893.542380040122,21918.322935287746
2019,49711.21741621683,53156.786889212075,34276.995694571095
2020,101266.77162840706,122990.27147813259,36922.956893460345
2021,133373.67091692262,169192.92347294843,105785.40561012895
2022,184199.4985156634,266349.27773090027,128404.22375343632
2023,216157.91343968653,62246.039326536426,101126.04723377703
2024,176258.65805292074,120694.12464494411,57434.21730213514
2025,347994.1390562022,483214.06677387515,73713.79416992268
